=====================================================================
Aufgabe: Aufgabe 1
System start time:  12:47:06
System start date:  15-05-2026
Datum: 15-05-2026
Uhrzeit Aufgaben Abschlus: 12:55:41
Benoetigte Zeit: 464.7686s
Start der Aufgabe nach System Start: 11392.86s
---------------------------------------------------------------------
Heatmap Reloads: 2
Reload Button Zeitpunkte:
Reload Button Press Number0: Triggerd(TimeSinceStartUP): 11471.76s | TimeSinceTaskStart: 78.89941s
Reload Button Press Number1: Triggerd(TimeSinceStartUP): 11473.72s | TimeSinceTaskStart: 80.85938s
---------------------------------------------------------------------
Kamera zurueck zaehler: 0
Camera Back Button Zeitpunkte:
---------------------------------------------------------------------
Winkel aenderungs Zeitpunkte: 
TimeSinceStartUP: 11619.23s | TimeSinceTaskStart: 226.3613s | Winkel: 27°
TimeSinceStartUP: 11619.34s | TimeSinceTaskStart: 226.4717s | Winkel: 25°
TimeSinceStartUP: 11619.45s | TimeSinceTaskStart: 226.584s | Winkel: 24°
TimeSinceStartUP: 11619.56s | TimeSinceTaskStart: 226.6953s | Winkel: 23°
TimeSinceStartUP: 11619.67s | TimeSinceTaskStart: 226.8057s | Winkel: 21°
TimeSinceStartUP: 11619.78s | TimeSinceTaskStart: 226.916s | Winkel: 20°
TimeSinceStartUP: 11619.89s | TimeSinceTaskStart: 227.0283s | Winkel: 19°
TimeSinceStartUP: 11620s | TimeSinceTaskStart: 227.1387s | Winkel: 18°
TimeSinceStartUP: 11620.03s | TimeSinceTaskStart: 227.1699s | Winkel: 17°
TimeSinceStartUP: 11620.5s | TimeSinceTaskStart: 227.6348s | Winkel: 18°
TimeSinceStartUP: 11620.62s | TimeSinceTaskStart: 227.751s | Winkel: 19°
TimeSinceStartUP: 11620.72s | TimeSinceTaskStart: 227.8516s | Winkel: 22°
TimeSinceStartUP: 11620.85s | TimeSinceTaskStart: 227.9863s | Winkel: 26°
TimeSinceStartUP: 11620.97s | TimeSinceTaskStart: 228.1094s | Winkel: 27°
TimeSinceStartUP: 11621.08s | TimeSinceTaskStart: 228.2197s | Winkel: 30°
TimeSinceStartUP: 11621.2s | TimeSinceTaskStart: 228.3311s | Winkel: 35°
TimeSinceStartUP: 11621.32s | TimeSinceTaskStart: 228.457s | Winkel: 36°
TimeSinceStartUP: 11621.43s | TimeSinceTaskStart: 228.5693s | Winkel: 39°
TimeSinceStartUP: 11621.54s | TimeSinceTaskStart: 228.6797s | Winkel: 41°
TimeSinceStartUP: 11621.66s | TimeSinceTaskStart: 228.792s | Winkel: 45°
TimeSinceStartUP: 11621.77s | TimeSinceTaskStart: 228.9033s | Winkel: 48°
TimeSinceStartUP: 11621.88s | TimeSinceTaskStart: 229.0156s | Winkel: 50°
TimeSinceStartUP: 11621.99s | TimeSinceTaskStart: 229.126s | Winkel: 51°
TimeSinceStartUP: 11622s | TimeSinceTaskStart: 229.1357s | Winkel: 52°
TimeSinceStartUP: 11622.33s | TimeSinceTaskStart: 229.4688s | Winkel: 51°
TimeSinceStartUP: 11622.5s | TimeSinceTaskStart: 229.6338s | Winkel: 50°
TimeSinceStartUP: 11622.63s | TimeSinceTaskStart: 229.7676s | Winkel: 48°
TimeSinceStartUP: 11622.74s | TimeSinceTaskStart: 229.8799s | Winkel: 47°
TimeSinceStartUP: 11622.86s | TimeSinceTaskStart: 229.9912s | Winkel: 44°
TimeSinceStartUP: 11622.97s | TimeSinceTaskStart: 230.1016s | Winkel: 42°
TimeSinceStartUP: 11623.08s | TimeSinceTaskStart: 230.2119s | Winkel: 39°
TimeSinceStartUP: 11623.19s | TimeSinceTaskStart: 230.3232s | Winkel: 38°
